#{"t_start": 1774436250.088494, "env_id": "None"}
r,l,t
-100.0,100,1.336078
-100.0,100,1.991786
-100.0,100,2.604767
-100.0,100,3.232307
-100.0,100,3.834814
-100.0,100,4.427331
-100.0,100,5.018181
-100.0,100,5.616656
-100.0,100,6.247268
-100.0,100,6.832039
-100.0,100,7.42146
-100.0,100,8.009016
-100.0,100,8.608316
-100.0,100,9.203609
-100.0,100,9.839456
-100.0,100,10.443455
-100.0,100,11.152041
-100.0,100,11.991196
-100.0,100,12.640932
-100.0,100,13.238027
-100.0,100,13.84373
-100.0,100,14.435357
-100.0,100,15.025499
-100.0,100,15.622541
-100.0,100,16.219937
-100.0,100,16.873098
-100.0,100,17.548164
-100.0,100,18.181125
-100.0,100,18.787926
-100.0,100,19.376968
-100.0,100,19.967623
-100.0,100,20.566883
-100.0,100,21.163874
-100.0,100,21.753715
-100.0,100,22.347008
-100.0,100,22.946973
-100.0,100,23.543537
-100.0,100,24.138919
-100.0,100,24.731448
-100.0,100,25.353066
-100.0,100,25.95771
-100.0,100,26.553786
-100.0,100,27.149364
-100.0,100,27.767801
-100.0,100,28.405673
-82.0,100,29.014148
-100.0,100,29.613878
-100.0,100,30.208338
-100.0,100,30.802906
-82.0,100,31.39604
-100.0,100,34.608852
-100.0,100,35.233237
-100.0,100,35.854285
-69.0,100,36.456731
-94.0,100,37.171918
-100.0,100,37.777557
-100.0,100,38.397983
-100.0,100,39.001148
-100.0,100,39.612751
-100.0,100,40.231895
-82.0,100,40.837203
-100.0,100,41.453682
-100.0,100,42.11408
-100.0,100,42.736064
-100.0,100,43.344192
-100.0,100,43.950647
-100.0,100,44.550355
-100.0,100,45.155067
-82.0,100,45.795882
-11.0,100,46.483529
-26.0,100,47.127323
-100.0,100,47.747184
-100.0,100,48.373425
-100.0,100,49.053022
-78.0,100,49.660169
-13.0,100,50.301621
-8.0,100,50.929254
-100.0,100,51.54004
-75.0,100,52.156944
-12.0,100,52.790522
-100.0,100,53.383375
-6.0,100,53.978596
-6.0,100,54.585826
-92.0,100,55.198252
-100.0,100,55.800112
-82.0,100,56.3974
-79.0,100,56.994031
-6.0,100,57.589768
-100.0,100,58.186111
-100.0,100,58.7841
-13.0,100,59.382423
-12.0,100,59.982802
-100.0,100,60.581168
-100.0,100,61.211012
-19.0,100,61.81441
-100.0,100,62.429968
-62.0,100,63.072377
-43.0,100,63.793283
-20.0,100,64.475551
-100.0,100,65.130274
-71.0,100,68.133863
-34.0,100,68.760155
-3.0,100,69.376509
-77.0,100,69.992774
-100.0,100,70.588753
-61.0,100,71.181539
-59.0,100,71.825789
-28.0,100,72.448734
-5.0,100,73.15641
-100.0,100,73.844469
-20.0,100,74.483914
-46.0,100,75.102059
-65.0,100,75.774172
-5.0,100,76.38848
-5.0,100,76.97923
-14.0,100,77.608067
-10.0,100,78.216106
-9.0,100,78.844565
-16.0,100,79.489023
-12.0,100,80.108519
-12.0,100,80.710658
-22.0,100,81.323256
-17.0,100,81.947566
-11.0,100,82.588354
-4.0,100,83.237153
-7.0,100,83.888752
-20.0,100,84.554362
-5.0,100,85.193386
-18.0,100,85.826446
-11.0,100,86.441243
-15.0,100,87.040943
-74.0,100,87.641527
-5.0,100,88.258192
-14.0,100,88.876928
-7.0,100,89.50958
-9.0,100,90.124775
-5.0,100,90.750594
-18.0,100,91.366203
-9.0,100,91.979864
-12.0,100,92.589165
-100.0,100,93.202411
-9.0,100,93.815012
-29.0,100,94.4187
-7.0,100,95.121914
-8.0,100,95.755652
-20.0,100,96.359434
-13.0,100,96.952219
-29.0,100,97.549827
-20.0,100,98.153825
-29.0,100,98.755628
-14.0,100,101.729126
-18.0,100,102.358885
-85.0,100,102.99359
-74.0,100,103.628608
-3.0,100,104.245223
-18.0,100,104.839105
-21.0,100,105.493865
-13.0,100,106.113514
-16.0,100,106.71542
-11.0,100,107.316935
-16.0,100,107.914993
-11.0,100,108.514665
-11.0,100,109.172041
-8.0,100,109.814926
-22.0,100,110.613138
-20.0,100,111.254119
-3.0,100,111.894368
-16.0,100,112.563575
-15.0,100,113.170219
-9.0,100,113.768665
-21.0,100,114.374822
-8.0,100,115.003668
-15.0,100,115.60197
-12.0,100,116.199798
-7.0,100,116.791039
-100.0,100,117.384232
-77.0,100,117.978973
-4.0,100,118.578691
-3.0,100,119.183458
-16.0,100,119.780124
-13.0,100,120.384549
-3.0,100,120.978729
-10.0,100,121.572496
-10.0,100,122.163538
-7.0,100,122.773127
-11.0,100,123.401269
-5.0,100,124.004406
-3.0,100,124.598157
-12.0,100,125.196524
-52.0,100,125.788935
-20.0,100,126.427343
-15.0,100,127.034749
-7.0,100,127.643743
-10.0,100,128.25107
-14.0,100,128.855336
-17.0,100,129.498101
-13.0,100,130.124016
-7.0,100,130.738287
-4.0,100,131.414655
-20.0,100,132.026623
-8.0,100,135.107901
-14.0,100,135.742632
-8.0,100,136.376446
