#{"t_start": 1774437969.531529, "env_id": "None"}
r,l,t
-100.0,100,1.277674
-100.0,100,1.91187
-100.0,100,2.48082
-100.0,100,3.045603
-100.0,100,3.622228
-100.0,100,4.19118
-100.0,100,4.800658
-100.0,100,5.473623
-100.0,100,6.136298
-100.0,100,6.830721
-100.0,100,7.494495
-100.0,100,8.08028
-100.0,100,8.654135
-100.0,100,9.223644
-100.0,100,9.795875
-100.0,100,10.373328
-100.0,100,10.949095
-100.0,100,11.533274
-100.0,100,12.10652
-97.0,100,12.749923
-100.0,100,13.331544
-100.0,100,13.903666
-100.0,100,14.476275
-100.0,100,15.053511
-100.0,100,15.632396
-100.0,100,16.208598
-100.0,100,16.780855
-100.0,100,17.353506
-100.0,100,17.927743
-100.0,100,18.503415
-100.0,100,19.074969
-100.0,100,19.654814
-100.0,100,20.236946
-100.0,100,20.816918
-100.0,100,21.390436
-100.0,100,21.967762
-100.0,100,22.547184
-100.0,100,23.134194
-100.0,100,23.740261
-100.0,100,24.315007
-100.0,100,24.90474
-100.0,100,25.481823
-100.0,100,26.051912
-100.0,100,26.626815
-100.0,100,27.207219
-100.0,100,27.784002
-100.0,100,28.358759
-100.0,100,28.936285
-100.0,100,29.514537
-100.0,100,30.098327
-100.0,100,33.043201
-100.0,100,33.628884
-100.0,100,34.212233
-100.0,100,34.793142
-100.0,100,35.421267
-100.0,100,35.994497
-100.0,100,36.570878
-100.0,100,37.146981
-100.0,100,37.751655
-100.0,100,38.3286
-100.0,100,38.920878
-100.0,100,39.5014
-100.0,100,40.083656
-100.0,100,40.663393
-100.0,100,41.247358
-100.0,100,41.829936
-100.0,100,42.408074
-100.0,100,42.987794
-100.0,100,43.567345
-100.0,100,44.149677
-100.0,100,44.74877
-100.0,100,45.332638
-100.0,100,45.91584
-100.0,100,46.563656
-100.0,100,47.179222
-100.0,100,47.757567
-100.0,100,48.349225
-100.0,100,48.944232
-100.0,100,49.520338
-100.0,100,50.110257
-100.0,100,50.691941
-100.0,100,51.269392
-100.0,100,51.853705
-100.0,100,52.433753
-100.0,100,53.016354
-100.0,100,53.697918
-100.0,100,54.392293
-100.0,100,55.022445
-100.0,100,55.625861
-100.0,100,56.311631
-100.0,100,56.900433
-100.0,100,57.526987
-100.0,100,58.09604
-100.0,100,58.673544
-98.0,100,59.251958
-100.0,100,59.832077
-100.0,100,60.413525
-100.0,100,60.992324
-100.0,100,61.649479
-100.0,100,62.223336
-100.0,100,65.077693
-100.0,100,65.669707
-100.0,100,66.263423
-100.0,100,66.846435
-100.0,100,67.430092
-100.0,100,67.999902
-100.0,100,68.607194
-100.0,100,69.216614
-100.0,100,69.93884
-100.0,100,70.552779
-100.0,100,71.128177
-100.0,100,71.708252
-100.0,100,72.289788
-100.0,100,72.895267
-100.0,100,73.481064
-100.0,100,74.056768
-100.0,100,74.640452
-100.0,100,75.231803
-100.0,100,75.827051
-100.0,100,76.408907
-100.0,100,76.984929
-100.0,100,77.639352
-100.0,100,78.22474
-100.0,100,78.806192
-100.0,100,79.384306
-100.0,100,79.965096
-100.0,100,80.542703
-100.0,100,81.210998
-100.0,100,81.889544
-98.0,100,82.480595
-99.0,100,83.145423
-99.0,100,83.798996
-98.0,100,84.481264
-100.0,100,85.291258
-88.0,100,85.961441
-97.0,100,86.672303
-92.0,100,87.307479
-100.0,100,87.942278
-100.0,100,88.587343
-82.0,100,89.223874
-95.0,100,89.855813
-99.0,100,90.459497
-100.0,100,91.035509
-96.0,100,91.658083
-87.0,100,92.285834
-84.0,100,92.885609
-98.0,100,93.58632
-100.0,100,94.211105
-98.0,100,94.82441
-100.0,100,95.487564
-87.0,100,98.385892
-97.0,100,99.130206
-100.0,100,99.978212
-85.0,100,100.617589
-37.0,100,101.214027
-100.0,100,101.79232
-92.0,100,102.370847
-98.0,100,103.036328
-62.0,100,103.795433
-95.0,100,104.405925
-90.0,100,104.995875
-45.0,100,105.64852
-60.0,100,106.2638
-41.0,100,106.939563
-61.0,100,107.521149
-88.0,100,108.098777
-29.0,100,108.741949
-48.0,100,109.342014
-87.0,100,109.935088
-48.0,100,110.530861
-63.0,100,111.131903
-32.0,100,111.722297
-59.0,100,112.320768
-49.0,100,112.909115
-32.0,100,113.507252
-92.0,100,114.114028
-36.0,100,114.700302
-53.0,100,115.289742
-8.0,100,115.892041
-14.0,100,116.570661
-28.0,100,117.149518
-10.0,100,117.740694
-20.0,100,118.378962
-9.0,100,119.159291
-6.0,100,119.834278
-6.0,100,120.471549
-8.0,100,121.140152
-6.0,100,121.810205
-16.0,100,122.472808
-61.0,100,123.110623
-30.0,100,123.750448
-15.0,100,124.404858
-5.0,100,125.0546
-17.0,100,125.682743
-9.0,100,126.337326
-41.0,100,127.063433
-10.0,100,127.718901
-12.0,100,128.522443
-5.0,100,129.224844
-100.0,100,129.81545
-5.0,100,132.849978
-10.0,100,133.514145
-5.0,100,134.098492
-8.0,100,134.683219
-6.0,100,135.261857
-8.0,100,135.852298
-7.0,100,136.422694
-9.0,100,137.154976
-4.0,100,137.988137
-9.0,100,138.687748
-10.0,100,139.318682
-13.0,100,139.915617
-6.0,100,140.508025
-6.0,100,141.137995
-5.0,100,141.717877
-11.0,100,142.299575
-6.0,100,142.879688
-9.0,100,143.486715
-4.0,100,144.073197
-4.0,100,144.65034
-6.0,100,145.245949
-10.0,100,145.821819
-6.0,100,146.392248
-9.0,100,147.05373
-3.0,100,147.793953
-13.0,100,148.646218
-5.0,100,149.870746
-12.0,100,150.679098
-29.0,100,151.581127
-5.0,100,152.351747
-12.0,100,152.99936
-5.0,100,153.602474
-7.0,100,154.727388
-100.0,100,155.43429
-7.0,100,156.059523
-6.0,100,156.6974
-11.0,100,157.290445
-5.0,100,157.871319
-5.0,100,158.464453
-8.0,100,159.042367
-11.0,100,159.663632
-6.0,100,160.26008
-11.0,100,160.840092
-9.0,100,161.430473
-73.0,100,162.032285
-6.0,100,162.632939
-9.0,100,163.21597
-7.0,100,163.790954
-6.0,100,164.388217
-3.0,100,164.982383
-12.0,100,167.855361
-9.0,100,168.450465
-7.0,100,169.074396
-7.0,100,169.66095
-4.0,100,170.253512
-2.0,100,170.827209
-11.0,100,171.408745
-5.0,100,171.984223
-16.0,100,172.580726
-9.0,100,173.166922
-7.0,100,173.753366
-3.0,100,174.340623
-6.0,100,174.927815
-7.0,100,175.518254
-4.0,100,176.093593
-9.0,100,176.673526
-8.0,100,177.273779
-5.0,100,177.968097
-6.0,100,178.598114
-3.0,100,179.180796
-3.0,100,179.761414
-16.0,100,180.347667
-6.0,100,180.980976
-4.0,100,181.574344
-10.0,100,182.280598
-6.0,100,182.894868
-6.0,100,183.493132
-6.0,100,184.071769
-6.0,100,184.704363
-11.0,100,185.302995
-5.0,100,185.915931
-18.0,100,186.505334
-3.0,100,187.094432
-3.0,100,187.702317
-9.0,100,188.291623
-11.0,100,188.875176
-4.0,100,189.453612
-10.0,100,190.042129
-5.0,100,190.625596
-4.0,100,191.214771
-8.0,100,191.803684
-11.0,100,192.382703
-100.0,100,192.961842
-9.0,100,193.53594
-6.0,100,194.131609
-3.0,100,194.716835
-6.0,100,195.29673
-5.0,100,195.869712
-6.0,100,196.453575
-5.0,100,197.027118
-62.0,100,199.826844
-3.0,100,200.416325
-8.0,100,201.005489
-4.0,100,201.585762
-4.0,100,202.167729
-4.0,100,202.744984
-100.0,100,203.339049
-8.0,100,203.917389
-9.0,100,204.497224
-6.0,100,205.083378
-9.0,100,205.663043
-5.0,100,206.240901
-8.0,100,206.820131
