#{"t_start": 1774434845.6950881, "env_id": "None"}
r,l,t
-100.0,100,1.255079
-100.0,100,1.892396
-100.0,100,2.448265
-100.0,100,2.99908
-100.0,100,3.593769
-100.0,100,4.246076
-95.0,100,4.814125
-100.0,100,5.378688
-96.0,100,5.934417
-100.0,100,6.487654
-100.0,100,7.043681
-100.0,100,7.600805
-100.0,100,8.164151
-100.0,100,8.718952
-100.0,100,9.272216
-100.0,100,9.832171
-100.0,100,10.389741
-100.0,100,10.944357
-100.0,100,11.495831
-100.0,100,12.085691
-95.0,100,12.642448
-100.0,100,13.195549
-100.0,100,13.748905
-100.0,100,14.301755
-100.0,100,14.864772
-100.0,100,15.419434
-100.0,100,15.974544
-100.0,100,16.527077
-100.0,100,17.087597
-100.0,100,17.648728
-100.0,100,18.203053
-100.0,100,18.755123
-100.0,100,19.313487
-100.0,100,19.874578
-100.0,100,20.427422
-100.0,100,20.986512
-96.0,100,21.550355
-100.0,100,22.105445
-100.0,100,22.659855
-100.0,100,23.212748
-100.0,100,23.804145
-100.0,100,24.35846
-100.0,100,24.918769
-100.0,100,25.475136
-100.0,100,26.037297
-100.0,100,26.593055
-100.0,100,27.165725
-100.0,100,27.721282
-100.0,100,28.282898
-93.0,100,28.839773
-100.0,100,31.708221
-96.0,100,32.27762
-100.0,100,32.849769
-100.0,100,33.41004
-100.0,100,34.020806
-100.0,100,34.598779
-100.0,100,35.168739
-100.0,100,35.924286
-100.0,100,36.489452
-100.0,100,37.049736
-100.0,100,37.614456
-98.0,100,38.173445
-100.0,100,38.73915
-100.0,100,39.29969
-100.0,100,39.888562
-93.0,100,40.4484
-100.0,100,41.017085
-100.0,100,41.577398
-98.0,100,42.141242
-95.0,100,42.710296
-13.0,100,43.268875
-100.0,100,43.831038
-29.0,100,44.394133
-55.0,100,44.995903
-99.0,100,45.556206
-71.0,100,46.117866
-13.0,100,46.682941
-66.0,100,47.246268
-100.0,100,47.806934
-38.0,100,48.367547
-11.0,100,48.931536
-11.0,100,49.495209
-18.0,100,50.064394
-30.0,100,50.626018
-21.0,100,51.19299
-19.0,100,51.756368
-100.0,100,52.321081
-9.0,100,52.88264
-17.0,100,53.452185
-100.0,100,54.013114
-15.0,100,54.575268
-100.0,100,55.143909
-100.0,100,55.712447
-80.0,100,56.27405
-38.0,100,56.866387
-22.0,100,57.428139
-20.0,100,57.996173
-32.0,100,58.557151
-32.0,100,59.118903
-92.0,100,59.68993
-49.0,100,62.530782
-29.0,100,63.126256
-4.0,100,63.697439
-100.0,100,64.270591
-30.0,100,64.932774
-49.0,100,65.497658
-100.0,100,66.062983
-11.0,100,66.627032
-4.0,100,67.193938
-30.0,100,67.801819
-96.0,100,68.366897
-100.0,100,68.932144
-20.0,100,69.496701
-6.0,100,70.06372
-8.0,100,70.711325
-19.0,100,71.40878
-12.0,100,72.005172
-4.0,100,72.602928
-96.0,100,73.156511
-20.0,100,73.743651
-16.0,100,74.463562
-82.0,100,75.234452
-19.0,100,75.840493
-16.0,100,76.426233
-4.0,100,77.077211
-12.0,100,77.897343
